"time","loss","layer_0.max_depth","layer_0.min_data_in_leaf","layer_0.boosting_rounds","layer_1.input_window","layer_0.num_leaves","layer_1.min_data_in_leaf","layer_1.boosting_rounds","status","layer_1.learning_rate","layer_1.num_leaves","log","layer_0.bagging_fraction","layer_1.max_depth","layer_0.learning_rate","layer_0.input_window","error","layer_0.feature_fraction","trial"
"64.044931","0.23563304270611865","14.0","26.0","12.0","4.0","33.0","31.0","15.0","ok","0.06981046225052884","13.0","","0.7204860784423973","11.0","0.42211817830834086","3.0","","0.7645928332969767","30"
"21.27449","0.2613712428043493","12.0","65.0","12.0","3.0","35.0","57.0","10.0","ok","0.06543452160378577","41.0","","0.45036527617188904","13.0","0.219206207531826","0.0","","0.7256152467254104","31"
"49.897551","0.32631679716605105","11.0","47.0","7.0","4.0","46.0","4.0","6.0","ok","0.02420946963271735","15.0","","0.7997957992696475","9.0","0.4182122777431567","3.0","","0.5583481659891337","32"
"48.021277","0.25639699194909155","10.0","27.0","8.0","4.0","24.0","6.0","7.0","ok","0.09103635746902308","44.0","","0.7214670429768328","4.0","0.20985872220423116","3.0","","0.8182777582880667","33"
"28.831382","0.4162987470338697","13.0","55.0","12.0","5.0","9.0","8.0","12.0","ok","0.04754634963177146","16.0","","0.33514718369925534","14.0","0.08144478722904917","1.0","","0.5072819426884484","34"
"29.54941","0.20450688831953498","16.0","34.0","6.0","5.0","23.0","48.0","33.0","ok","0.04342602519689794","7.0","","0.37033650913787675","14.0","0.1285717830990973","1.0","","0.7749403675922186","35"
"43.728621","0.13722684064208765","13.0","53.0","64.0","4.0","31.0","39.0","52.0","ok","0.050962686448195495","16.0","","0.23119904002644948","2.0","0.17857636326969806","0.0","","0.7390534632691081","36"
"57.240998","0.23668835862534476","10.0","60.0","58.0","3.0","6.0","16.0","14.0","ok","0.05035772401727329","16.0","","0.7880031942922304","3.0","0.49557404282561446","1.0","","0.9557875130018647","37"
"26.443456","0.15574052841564168","8.0","36.0","27.0","5.0","23.0","100.0","26.0","ok","0.10468090124850209","47.0","","0.2724732441996267","4.0","0.22551947743007178","0.0","","0.6932353003480909","38"
"46.991327","0.24198105102375056","15.0","21.0","10.0","4.0","24.0","8.0","11.0","ok","0.03077307236322069","13.0","","0.2321537105118876","13.0","0.4308978972203186","3.0","","0.7314591496944778","39"
"93.427361","0.24268231985403407","16.0","44.0","34.0","3.0","30.0","27.0","40.0","ok","0.060828635385246764","38.0","","0.5023002026207107","6.0","0.26273659041733693","2.0","","0.7086729331875847","40"
"36.155468","0.14405669691621767","12.0","54.0","25.0","3.0","29.0","18.0","75.0","ok","0.06907255463508177","6.0","","0.8182364686909429","7.0","0.24291202552523253","0.0","","0.8671204786510754","41"
"39.192448","0.11612028999805261","11.0","48.0","34.0","4.0","10.0","10.0","48.0","ok","0.07588980663780782","20.0","","0.24753225556784747","15.0","0.263939247656504","1.0","","0.6600046995894615","42"
"22.088014","0.15042176800413146","13.0","61.0","18.0","4.0","15.0","60.0","31.0","ok","0.07005067918662462","43.0","","0.6081361138996388","2.0","0.10806167666424166","0.0","","0.7389836810561274","43"
"53.586932","0.2611259874443427","12.0","71.0","15.0","3.0","49.0","32.0","45.0","ok","0.015017090015020561","22.0","","0.33582570092966413","9.0","0.08293929431006085","2.0","","0.6125854563406021","44"
"59.225125","0.1743990025822069","11.0","50.0","21.0","5.0","24.0","86.0","73.0","ok","0.024013262969684555","24.0","","0.8822052762060227","4.0","0.3301765371083358","1.0","","0.8926068712844817","45"
"21.746044","0.300475633338635","9.0","57.0","15.0","5.0","23.0","46.0","5.0","ok","0.05306745392593161","40.0","","0.17023055717357355","8.0","0.31790691314708325","0.0","","0.6664857485899771","46"
"39.798036","0.29018033041760444","11.0","59.0","72.0","5.0","16.0","77.0","20.0","ok","0.044333580330399934","9.0","","0.3815140576870609","9.0","0.12020114254962434","0.0","","0.9010995630770814","47"
"161.559773","0.11474327570921287","11.0","61.0","66.0","5.0","36.0","88.0","41.0","ok","0.21714698083776876","20.0","","0.7299979611768295","16.0","0.08613304201588264","2.0","","0.6434263978116643","48"
"79.819831","0.1396056973613903","14.0","66.0","30.0","4.0","35.0","13.0","44.0","ok","0.08747424421626973","47.0","","0.6143541336559748","11.0","0.11868377909168938","2.0","","0.5513091871635161","49"
"30.220505","0.1429110356937878","12.0","78.0","8.0","4.0","33.0","63.0","49.0","ok","0.04412075114171278","17.0","","0.3210821474733838","11.0","0.2881361726834834","1.0","","0.7078291366123662","50"
"36.229893","0.4300332643040076","13.0","70.0","9.0","4.0","45.0","4.0","7.0","ok","0.010681956634211561","11.0","","0.21908353119260499","3.0","0.08801235387917611","2.0","","0.5064972567323973","51"
"29.346266","0.29517978933399663","10.0","80.0","7.0","5.0","43.0","39.0","9.0","ok","0.050430419742814286","9.0","","0.7528510426914063","9.0","0.25568107404946555","1.0","","0.5483952538854289","52"
"58.471557","0.1374591986110305","9.0","53.0","26.0","4.0","33.0","41.0","48.0","ok","0.07470578077471539","28.0","","0.9269822043422146","8.0","0.11914559162973014","1.0","","0.6204582363940632","53"
"22.587393","0.3247301626671778","9.0","58.0","5.0","5.0","45.0","64.0","13.0","ok","0.03746448437588541","40.0","","0.4604516762232491","9.0","0.1492329682424253","0.0","","0.658531045842435","54"
"116.449643","0.29850232559074913","16.0","28.0","69.0","5.0","10.0","77.0","17.0","ok","0.041520660755823474","48.0","","0.7728903852767856","14.0","0.1899957733393733","3.0","","0.7030970223012861","55"
"28.357138","0.1751207248544797","10.0","30.0","5.0","3.0","31.0","17.0","12.0","ok","0.10562725228478552","6.0","","0.5631584311036023","4.0","0.17535916704426666","1.0","","0.7743224226057407","56"
"39.451383","0.302238790418583","11.0","62.0","9.0","3.0","41.0","15.0","5.0","ok","0.12422077257894192","25.0","","0.9422235419487","12.0","0.16990813173209132","2.0","","0.5388342164617727","57"
"37.44533","0.4346785550099699","10.0","65.0","18.0","4.0","7.0","20.0","7.0","ok","0.027715890918511107","36.0","","0.27223616068178674","4.0","0.2136921718838135","2.0","","0.5730491354986953","58"
"24.935109","0.6051767738279068","16.0","51.0","6.0","4.0","10.0","37.0","9.0","ok","0.01627521863910218","26.0","","0.29638543156622144","3.0","0.26834248534432953","1.0","","0.8292861584707489","59"
"49.960708","0.1580994062528052","9.0","76.0","6.0","4.0","42.0","20.0","45.0","ok","0.16867794508975903","24.0","","0.15035385442242655","9.0","0.3877376099072194","3.0","","0.8626935132764253","60"
"41.146745","0.39836017370561044","13.0","73.0","50.0","3.0","22.0","28.0","6.0","ok","0.021038833564027824","48.0","","0.1519459495642932","15.0","0.13155213229696783","1.0","","0.7536768854912131","61"
"31.362759","0.158950391411704","10.0","40.0","9.0","4.0","20.0","96.0","44.0","ok","0.03884029852975265","8.0","","0.11175322621502037","13.0","0.18596320512214884","1.0","","0.6420957116903631","62"
"28.748269","0.18473834087917693","9.0","61.0","18.0","4.0","40.0","41.0","49.0","ok","0.10432992777584714","47.0","","0.7653895715976633","7.0","0.08121752306672476","0.0","","0.8956533858766085","63"
"76.005839","0.2922044616436247","10.0","67.0","11.0","3.0","35.0","3.0","29.0","ok","0.024138293378306818","45.0","","0.9599906004369648","15.0","0.09858419222680044","3.0","","0.8989995656007012","64"
"84.537131","0.26049985161696293","11.0","37.0","64.0","5.0","37.0","56.0","52.0","ok","0.032206781952794666","36.0","","0.14227273408201604","9.0","0.1684457171950605","1.0","","0.8715394471329807","65"
"52.287162","0.3333852278985292","9.0","80.0","16.0","3.0","47.0","33.0","15.0","ok","0.015282154568473167","17.0","","0.7007027276516884","7.0","0.15164779931388064","2.0","","0.5941800510064956","66"
"108.253692","0.293320484934279","15.0","77.0","22.0","5.0","49.0","3.0","24.0","ok","0.04376206648295566","33.0","","0.9791703052912782","5.0","0.4903256311544065","2.0","","0.8667514487649031","67"
"53.898961","0.28343578307157574","11.0","35.0","20.0","3.0","13.0","31.0","34.0","ok","0.013760707618158159","32.0","","0.5070350094339761","9.0","0.15471289569192842","2.0","","0.8549775408213758","68"
"24.634158","0.18933081190585035","14.0","66.0","35.0","4.0","7.0","43.0","5.0","ok","0.18233445319177977","18.0","","0.5061455469949812","3.0","0.4372689319358572","0.0","","0.627090104136587","69"
"40.522036","0.13268468642663547","15.0","32.0","15.0","4.0","21.0","32.0","9.0","ok","0.17514029405779072","16.0","","0.7825634162487097","11.0","0.2646558664330588","1.0","","0.7610062013990502","70"
"72.966175","0.15315326541067484","15.0","62.0","17.0","5.0","17.0","95.0","34.0","ok","0.24273022898263868","29.0","","0.9058175876673006","15.0","0.14870051209159157","3.0","","0.5466730467761336","71"
"43.328878","0.2273566754840363","14.0","28.0","43.0","4.0","44.0","26.0","9.0","ok","0.21305312494187292","44.0","","0.7219762862218961","7.0","0.26454551500742374","0.0","","0.958736136277899","72"
"41.817451","0.20737631251490773","11.0","60.0","12.0","4.0","50.0","87.0","55.0","ok","0.20260828478260973","44.0","","0.5370565888099145","5.0","0.13079199951913065","1.0","","0.8371086249249562","73"
"33.36399","0.14994635424960226","14.0","70.0","6.0","5.0","17.0","54.0","12.0","ok","0.2641987125348163","23.0","","0.2655502749272773","10.0","0.0821715692218165","2.0","","0.6904946444616826","74"
"45.393424","0.38688300004024007","15.0","39.0","10.0","5.0","21.0","50.0","6.0","ok","0.015095596003691857","13.0","","0.8661706113718063","11.0","0.3099391193119994","2.0","","0.5064745656837675","75"
"82.66149","0.33604613078755574","12.0","64.0","30.0","5.0","13.0","57.0","6.0","ok","0.05864654993794358","34.0","","0.977647762087979","7.0","0.23826758963494207","2.0","","0.6589790916750109","76"
"35.145472","0.4867568538945415","14.0","22.0","10.0","4.0","5.0","95.0","8.0","ok","0.058998169794801464","11.0","","0.5293585940852723","15.0","0.21079522098719283","2.0","","0.9700861888603822","77"
"69.497015","0.18221688254346988","11.0","75.0","20.0","5.0","14.0","75.0","74.0","ok","0.22738990354077956","18.0","","0.9731807700386451","16.0","0.20063731355711356","2.0","","0.6027361231950303","78"
"87.326532","0.3210620979708143","13.0","54.0","34.0","4.0","31.0","99.0","38.0","ok","0.014665426657882218","49.0","","0.35038744592824445","16.0","0.18483035735443099","2.0","","0.924305724035118","79"
"61.112714","0.1347477227696646","15.0","68.0","30.0","5.0","22.0","38.0","32.0","ok","0.11264070409252033","44.0","","0.34292968759222764","4.0","0.09820947360647439","2.0","","0.7329253769698114","80"
"110.898578","0.2817692385547689","13.0","57.0","55.0","4.0","25.0","21.0","8.0","ok","0.08585215872554229","15.0","","0.4307911280595459","5.0","0.30739872656450207","2.0","","0.7955029583885661","81"
"40.588746","0.15983122701762273","15.0","25.0","7.0","5.0","48.0","12.0","30.0","ok","0.28255010511450035","9.0","","0.9969375773872466","15.0","0.11421272387769682","1.0","","0.8618453094454381","82"
"45.585132","0.17766987880357618","11.0","48.0","7.0","5.0","47.0","69.0","18.0","ok","0.12464031650470514","48.0","","0.29433332859213246","8.0","0.3944868351203211","2.0","","0.730966976628213","83"
"36.989016","0.27900629714708897","12.0","48.0","26.0","3.0","15.0","4.0","8.0","ok","0.06571039213974562","32.0","","0.4182711326517078","5.0","0.23289554314285482","1.0","","0.6075784304544609","84"
"36.13801","0.3584904676290594","11.0","29.0","15.0","4.0","22.0","89.0","16.0","ok","0.016171990532214686","26.0","","0.5738908758053195","8.0","0.23234572444398713","1.0","","0.948467669890545","85"
"24.569012","0.32127681670331387","15.0","28.0","5.0","4.0","31.0","71.0","14.0","ok","0.016137364293318496","32.0","","0.49262508410357486","9.0","0.15394316196118457","1.0","","0.7844326957418448","86"
"28.617851","0.22067993613579473","10.0","61.0","11.0","3.0","12.0","15.0","33.0","ok","0.03649592058116816","34.0","","0.648848179302025","8.0","0.13671041719519966","0.0","","0.6661465908313634","87"
"40.562384","0.36014881755250233","10.0","50.0","12.0","4.0","16.0","10.0","10.0","ok","0.01937927978815134","38.0","","0.42091714793936497","9.0","0.4056800098120953","2.0","","0.9406423651040078","88"
"37.396545","0.32341612724460855","16.0","26.0","8.0","4.0","13.0","87.0","12.0","ok","0.03770407068514433","32.0","","0.4032224659862518","14.0","0.23070427490884945","2.0","","0.57453260895007","89"
"84.141505","0.2192091198855766","11.0","32.0","26.0","4.0","34.0","10.0","65.0","ok","0.06583600168970762","45.0","","0.6524522494080993","7.0","0.3106439910033818","2.0","","0.7271352158660197","90"
"31.752258","0.3795876244650784","8.0","44.0","13.0","3.0","19.0","70.0","8.0","ok","0.022508864974053373","44.0","","0.7070775001183418","13.0","0.22966145965532755","1.0","","0.5655186006093027","91"
"48.457419","0.33220792045852693","12.0","58.0","5.0","4.0","39.0","5.0","64.0","ok","0.010241871397115214","41.0","","0.19972754809463072","13.0","0.09960208025858397","2.0","","0.622194165778882","92"
"27.262504","0.20574815683400882","8.0","47.0","9.0","4.0","13.0","34.0","7.0","ok","0.1789425808143182","18.0","","0.49654119757901194","5.0","0.16763001711042463","1.0","","0.7558596301541116","93"
"101.985801","0.17573854958933496","10.0","77.0","37.0","4.0","35.0","52.0","64.0","ok","0.06391275639956145","38.0","","0.20108820759743273","7.0","0.44842919102420026","3.0","","0.981994362222983","94"
"87.333784","0.2620411136545308","14.0","53.0","59.0","3.0","26.0","63.0","14.0","ok","0.10682043491484523","33.0","","0.6671923179320347","5.0","0.21744721627924807","1.0","","0.73393850379767","95"
"27.525359","0.3340829225968028","13.0","70.0","30.0","5.0","10.0","83.0","7.0","ok","0.04488291338368247","39.0","","0.6757339285517974","13.0","0.45760576241979206","0.0","","0.8353142469703545","96"
"33.81644","0.29536788881840376","8.0","37.0","75.0","4.0","8.0","14.0","10.0","ok","0.27985485376439395","39.0","","0.5563043280895466","6.0","0.4554634418425545","0.0","","0.8079137347136045","97"
"118.40838","0.35181895022926013","16.0","29.0","59.0","4.0","31.0","63.0","11.0","ok","0.12233564587068214","25.0","","0.7365140277625026","5.0","0.3665032029604247","1.0","","0.8419661093089665","98"
"26.316695","0.43875845953070874","8.0","72.0","7.0","5.0","31.0","55.0","15.0","ok","0.012684315554174297","19.0","","0.14704851151307577","2.0","0.3490166874707244","1.0","","0.7957743853269805","99"
"53.056387","0.11831664793187598","13.0","41.0","50.0","3.0","7.0","89.0","12.0","ok","0.201918645612844","13.0","","0.5630278170617257","7.0","0.2203958289263293","1.0","","0.7041166315312833","100"
"83.250099","0.43408301192683196","12.0","79.0","26.0","3.0","42.0","77.0","23.0","ok","0.013656752110414911","40.0","","0.3116231074328734","13.0","0.48222197365024777","2.0","","0.7301047091399853","101"
"180.286728","10","9.0","58.0","74.0","3.0","27.0","50.0","12.0","fail","0.01522477294135443","10.0","","0.8075618707641885","14.0","0.11486226916185048","3.0","Model was automatically killed.","0.5776325240859543","102"
"21.285276","0.33015483304459725","15.0","58.0","21.0","4.0","9.0","79.0","14.0","ok","0.020324950309829663","12.0","","0.17430466480535484","10.0","0.2951328213377862","0.0","","0.7957290707114748","103"
"31.566953","0.16216875571194825","13.0","40.0","29.0","4.0","45.0","35.0","23.0","ok","0.1129581254989325","24.0","","0.16258258002361126","5.0","0.2757834779093752","0.0","","0.8554031858181893","104"
"57.499031","0.41775475671885315","12.0","58.0","55.0","4.0","44.0","54.0","8.0","ok","0.02767276040938532","43.0","","0.10905757052048815","12.0","0.19474485840511063","1.0","","0.580945359020826","105"
"152.418547","0.25901890139766964","12.0","63.0","57.0","4.0","17.0","13.0","26.0","ok","0.02969914732430699","37.0","","0.7725142340165688","5.0","0.17361602338540144","3.0","","0.5803290180774272","106"
"52.172162","0.12200829033342109","11.0","23.0","37.0","4.0","11.0","93.0","21.0","ok","0.1927210756279093","12.0","","0.29214587050926255","6.0","0.09860162687358076","2.0","","0.572457311666237","107"
"22.607761","0.2364578793422548","10.0","29.0","10.0","4.0","43.0","91.0","20.0","ok","0.03227136958005913","25.0","","0.738951585168446","6.0","0.4539127831220053","0.0","","0.5063387606064977","108"
"67.146375","0.27421408517328744","13.0","75.0","9.0","4.0","28.0","6.0","28.0","ok","0.0192241016369336","38.0","","0.9615687784580319","9.0","0.27207939214371263","3.0","","0.5165203192151269","109"
"48.921128","0.12355559547170199","9.0","61.0","26.0","4.0","39.0","53.0","52.0","ok","0.1767893396100417","8.0","","0.3656556164695266","15.0","0.22980984006218041","1.0","","0.6197675938495628","110"
"47.654303","0.3284031831504576","16.0","51.0","10.0","3.0","6.0","86.0","11.0","ok","0.1031134503347979","49.0","","0.9970790583420261","2.0","0.1418053591222419","3.0","","0.8140121445687316","111"
"40.909207","0.24506801002143533","11.0","30.0","47.0","4.0","37.0","52.0","24.0","ok","0.07494719643726547","24.0","","0.5312136149983744","13.0","0.30016811595370996","0.0","","0.9806918632891437","112"
"52.672273","0.3505289958916366","10.0","30.0","9.0","4.0","18.0","74.0","34.0","ok","0.012377292460468996","33.0","","0.8977651093003128","15.0","0.21365856266077277","3.0","","0.7112483952944431","113"
"29.243007","0.299354397775947","10.0","25.0","7.0","4.0","7.0","72.0","12.0","ok","0.05034436343290862","10.0","","0.43598599831597906","12.0","0.49595200508238185","1.0","","0.9922637374686663","114"
"54.757024","0.17609710001362985","9.0","69.0","24.0","5.0","14.0","49.0","56.0","ok","0.034030257948219456","22.0","","0.12590713017671287","14.0","0.4481346100635418","2.0","","0.8191042615337072","115"
"48.649527","0.16400125178364214","14.0","42.0","24.0","5.0","8.0","22.0","60.0","ok","0.17230249904308442","6.0","","0.2815734172164266","14.0","0.19340534194835576","2.0","","0.7564820318710169","116"
"49.974324","0.3879833728734585","8.0","29.0","44.0","3.0","32.0","15.0","21.0","ok","0.0148454449370451","15.0","","0.45668928754018434","14.0","0.17590349928449725","1.0","","0.581786942357613","117"
"91.124788","0.1795750112036485","14.0","62.0","21.0","4.0","31.0","61.0","52.0","ok","0.029817494618890224","12.0","","0.7893578061986168","10.0","0.17318778411413407","2.0","","0.9430241980453267","118"
"107.538233","0.13472457390771794","12.0","50.0","47.0","4.0","10.0","71.0","35.0","ok","0.22640457565798225","41.0","","0.591283567458897","9.0","0.08973997089908975","3.0","","0.8036762317388468","119"
"46.365933","0.28001269937461754","9.0","74.0","54.0","4.0","35.0","44.0","46.0","ok","0.02018621713920565","37.0","","0.9621131731243755","3.0","0.47695834899072237","0.0","","0.880118590341888","120"
"46.293775","0.2702075201942029","9.0","51.0","25.0","4.0","19.0","20.0","21.0","ok","0.03652409085947601","30.0","","0.10094168962699579","11.0","0.3097780869032842","2.0","","0.6821341794186573","121"
"57.183897","0.3172839685416195","13.0","60.0","8.0","5.0","42.0","70.0","14.0","ok","0.052538082585978196","29.0","","0.6256219995135017","10.0","0.15710033263109408","3.0","","0.8889691787468379","122"
"65.933753","0.22605502940751132","9.0","66.0","25.0","5.0","36.0","71.0","10.0","ok","0.06175401229477756","9.0","","0.3043787791661764","10.0","0.2330308964620173","3.0","","0.6057029545250748","123"
"73.540445","0.20260708330578747","10.0","72.0","43.0","5.0","14.0","42.0","6.0","ok","0.1687299659594458","34.0","","0.36191595244613006","7.0","0.20431984094235797","3.0","","0.5046738647348457","124"
"60.064384","0.26682875477145457","8.0","74.0","18.0","5.0","15.0","99.0","29.0","ok","0.016473513594795725","21.0","","0.581896568800248","8.0","0.19868548112203221","2.0","","0.8231822950796566","125"
"84.422743","0.16248988664521236","11.0","77.0","40.0","5.0","29.0","3.0","8.0","ok","0.0999782832965943","7.0","","0.17118340918078656","10.0","0.19295641648065384","2.0","","0.9949675542174534","126"
"59.53442","0.11524532700741212","9.0","77.0","28.0","4.0","46.0","10.0","23.0","ok","0.0897499852035306","14.0","","0.2531190243415845","13.0","0.16317869869137314","2.0","","0.6238197196734574","127"
"45.343683","0.20870674236722486","10.0","42.0","5.0","5.0","47.0","86.0","8.0","ok","0.20161614563915525","28.0","","0.42944909303332446","11.0","0.4191004561096572","3.0","","0.9068908785640378","128"
"48.186705","0.11172218700217533","9.0","69.0","41.0","4.0","10.0","20.0","43.0","ok","0.09313935743319375","19.0","","0.3941683028673042","4.0","0.20826291682818185","1.0","","0.8342492085585045","129"
"44.19769","0.38767741084156926","10.0","44.0","75.0","3.0","41.0","11.0","8.0","ok","0.03807819674401176","11.0","","0.10994775874421568","15.0","0.14489108177282245","0.0","","0.52973587674976","130"
"58.495175","0.2082323614601623","15.0","54.0","10.0","4.0","46.0","45.0","56.0","ok","0.04233601651942136","21.0","","0.8137053573771917","10.0","0.12642181734748584","2.0","","0.7148788738109304","131"
"60.613307","0.19972110372707755","9.0","34.0","54.0","4.0","17.0","87.0","21.0","ok","0.12955720817192148","33.0","","0.5783815135130251","10.0","0.16259109626649984","1.0","","0.6431048457660544","132"
"39.996524","0.2365019216488142","12.0","46.0","8.0","4.0","14.0","75.0","70.0","ok","0.15771334564185258","38.0","","0.16656148499689905","4.0","0.22078394719977934","2.0","","0.7039013305826449","133"
"48.397124","0.3451804203285","11.0","36.0","12.0","3.0","31.0","31.0","23.0","ok","0.02045275946081556","12.0","","0.20509153124151452","5.0","0.10661376679841804","3.0","","0.8729130904399062","134"
"97.24326","0.3270292395518338","10.0","66.0","41.0","3.0","18.0","21.0","9.0","ok","0.0468950056014345","36.0","","0.7066403225537209","11.0","0.10457442248484532","2.0","","0.7144790018393026","135"
