trial,status,loss,time,log,error,activation,layer1_layers,layer1_size,layer2_layers,layer2_size,layer3_layers,layer3_size,layer4_layers,layer4_size,learning_rate,weight_decay
58,ok,0.4576,820.440056,,,rrelu,3,80,1,160,3,256,2,512,1.24114761907413,0.000110441255848
59,ok,0.546,733.474782,,,rrelu,2,32,3,64,3,256,2,384,0.136717162922146,3.86821938887567E-05
60,ok,0.4049,677.469791,,,rrelu,3,48,2,64,1,256,3,256,1.63534861708882,0.000421787355056
61,ok,0.4515,717.544349,,,rrelu,3,80,3,96,2,256,2,256,0.898295992478518,0.001120018328456
62,ok,0.3954,712.083609,,,elu,3,48,3,160,2,192,1,384,0.51760361651304,0.001757034728652
63,ok,0.9,969.4144,,,selu,1,64,2,64,2,320,3,640,1.44360190889222,9.20604081102514E-05
64,ok,0.9,816.615779,,,elu,3,32,1,64,2,192,3,512,2.87994272814863,0.000616685881681
65,ok,0.4376,835.527747,,,relu,2,96,2,160,2,384,2,384,2.4754509472179,7.09495449262667E-05
66,ok,0.9,874.04954,,,elu,1,64,2,64,3,256,3,512,2.88356590309021,7.1482365335835E-05
67,ok,0.9,810.000683,,,selu,1,80,1,192,1,320,2,512,1.1843112737382,3.54991257557683E-05
68,ok,0.7417,933.25509,,,elu,2,32,1,128,3,192,3,640,2.20472343669528,3.50884734564592E-05
69,ok,0.4337,719.043234,,,relu,2,64,2,64,2,320,1,384,0.738515319488645,0.000771303871771
70,ok,0.4481,847.568815,,,elu,1,48,2,192,3,320,1,512,2.12242402065328,6.84168832493722E-05
71,ok,0.716,998.675867,,,elu,1,96,3,64,2,192,3,768,0.781106659199472,0.001584328311415
72,ok,0.9,1020.281213,,,elu,2,32,1,128,2,384,3,640,2.30734153528716,0.001500544907811
73,ok,0.4215,703.414726,,,selu,2,96,2,128,2,192,2,256,1.22512561081469,0.000465994534847
74,ok,0.4609,795.622723,,,relu,2,48,2,128,2,384,2,384,1.14275583000391,0.00080900773835
75,ok,0.4811,751.977422,,,rrelu,3,80,1,160,3,256,2,256,2.91148147453803,0.000778286740383
76,ok,0.4567,793.200014,,,selu,2,48,1,96,2,320,1,640,0.174423947097193,2.3799818645878E-05
77,ok,0.5068,1041.429542,,,selu,2,80,3,96,3,256,3,768,1.13548289027219,0.000914392497667
78,ok,0.664,808.644022,,,relu,1,80,2,96,1,128,3,512,0.437177326364798,0.000431801503435
79,ok,0.4102,725.243723,,,relu,2,80,2,192,3,192,1,384,0.786835323732044,0.000705836343399
80,ok,0.4821,829.640906,,,selu,2,96,1,96,3,256,2,512,0.547907331395324,0.001309391144565
81,ok,0.5057,790.703265,,,elu,1,80,2,128,3,192,2,512,1.92158269884489,3.14684784742421E-05
82,ok,0.9,767.770215,,,rrelu,1,64,2,192,3,128,2,512,1.77467975176242,0.001886567159599
83,ok,0.9,724.782378,,,selu,2,48,3,64,1,256,1,640,2.12862902916537,0.000211241451902
84,ok,0.7757,932.338148,,,relu,2,32,2,64,1,320,2,768,0.963936438532544,0.000662602404657
85,ok,0.3826,743.05474,,,rrelu,3,48,1,128,1,384,2,384,2.25321985745451,0.000285742071171
86,ok,0.4732,871.46968,,,elu,2,48,2,128,2,320,3,512,0.418697136802767,3.36321999531018E-05
87,ok,0.9,715.524429,,,rrelu,3,48,2,160,1,320,2,256,2.50460260359702,0.001302909796137
88,ok,0.5097,862.051651,,,rrelu,3,80,2,64,2,320,3,512,1.01977405324091,0.000989732165977
89,ok,0.9,787.716754,,,selu,1,32,2,64,3,256,2,512,2.32481326814356,0.000246861249549
90,ok,0.5236,788.744807,,,elu,2,64,3,64,2,256,2,512,2.31616712705053,6.33121146187629E-05
91,ok,0.4988,955.534534,,,relu,2,80,1,96,2,384,3,512,0.286654782082631,0.000510984625119
92,ok,0.9,834.885832,,,rrelu,3,64,2,192,2,320,2,512,2.71016463101308,0.001131977230987
93,ok,0.5339,844.414385,,,elu,2,64,2,160,3,192,2,640,1.5557133186559,3.2548081519615E-05
94,ok,0.4568,659.546763,,,elu,2,32,2,160,2,192,1,256,0.78887755171075,0.000988477477105
95,ok,0.9,653.34276,,,elu,3,32,1,192,2,192,1,256,2.47488059356691,0.00061984847484
96,ok,0.4593,672.175457,,,selu,1,48,2,128,3,128,3,256,0.803014333895526,3.25972761575793E-05
97,ok,0.6863,862.51902,,,relu,1,64,2,96,1,128,2,768,0.148166078177906,0.000276327472626
98,ok,0.379,769.679892,,,selu,2,80,3,64,2,320,2,384,0.909840601050701,7.68474261769555E-05
99,ok,0.4574,805.433749,,,rrelu,2,64,3,128,2,256,1,768,2.83835748321362,7.05911844655806E-05
100,ok,0.4805,632.728368,,,rrelu,1,64,1,96,2,128,2,256,1.21874856327761,5.28279760772345E-05
101,ok,0.4679,931.549792,,,selu,2,80,1,160,2,384,1,768,0.318533656300615,0.000344781239439
102,ok,0.9,868.708103,,,selu,2,32,3,64,3,256,3,512,2.4148554094579,0.000197780375945
103,ok,0.6763,897.598938,,,relu,1,96,3,64,2,192,2,768,2.9290016256444,9.53179162929614E-05
104,ok,0.4269,717.928574,,,elu,2,48,1,160,1,192,1,640,2.1621821172485,0.000481156079941
